Time,Diversity_flag,Count
"9 13th 2017, 22:30:00.000",_snort_suricata,922
"9 15th 2017, 17:30:00.000",_suricata,"14,900"
"9 15th 2017, 17:30:00.000",_snort,"10,942"
"9 15th 2017, 17:30:00.000",_snort_suricata,824
"9 15th 2017, 23:00:00.000",_suricata,"14,895"
"9 15th 2017, 23:00:00.000",_snort,"9,776"
"9 15th 2017, 23:00:00.000",_snort_suricata,842
"9 18th 2017, 22:30:00.000",_suricata,"14,831"
"9 18th 2017, 22:30:00.000",_snort,"9,707"
"9 18th 2017, 22:30:00.000",_snort_suricata,828
"9 19th 2017, 22:30:00.000",_suricata,"14,872"
"9 19th 2017, 22:30:00.000",_snort,"9,789"
"9 19th 2017, 22:30:00.000",_snort_suricata,879
"9 21st 2017, 15:30:00.000",_suricata,"14,838"
"9 21st 2017, 15:30:00.000",_snort,"9,862"
"9 21st 2017, 15:30:00.000",_snort_suricata,858
"9 22nd 2017, 17:00:00.000",_suricata,"14,887"
"9 22nd 2017, 17:00:00.000",_snort,"6,995"
"9 22nd 2017, 17:00:00.000",_snort_suricata,848
"9 22nd 2017, 18:00:00.000",_suricata,"14,244"
"9 22nd 2017, 18:00:00.000",_snort,"6,996"
"9 22nd 2017, 18:00:00.000",_snort_suricata,848
"9 22nd 2017, 22:30:00.000",_suricata,"14,246"
"9 22nd 2017, 22:30:00.000",_snort,"7,002"
"9 22nd 2017, 22:30:00.000",_snort_suricata,846
"9 26th 2017, 00:00:00.000",_suricata,"14,789"
"9 26th 2017, 00:00:00.000",_snort,"6,962"
"9 26th 2017, 00:00:00.000",_snort_suricata,862
"9 27th 2017, 01:00:00.000",_suricata,"14,715"
"9 27th 2017, 01:00:00.000",_snort,"7,056"
"9 27th 2017, 01:00:00.000",_snort_suricata,866
"9 28th 2017, 18:30:00.000",_suricata,"15,788"
"9 28th 2017, 18:30:00.000",_snort,"7,952"
"9 28th 2017, 18:30:00.000",_snort_suricata,0
"9 28th 2017, 22:30:00.000",_suricata,"14,242"
"9 28th 2017, 22:30:00.000",_snort,"7,074"
"9 28th 2017, 22:30:00.000",_snort_suricata,870
"9 30th 2017, 00:00:00.000",_suricata,"14,773"
"9 30th 2017, 00:00:00.000",_snort,"7,144"
"9 30th 2017, 00:00:00.000",_snort_suricata,846
"10 2nd 2017, 22:30:00.000",_suricata,"14,836"
"10 2nd 2017, 22:30:00.000",_snort,"7,026"
"10 2nd 2017, 22:30:00.000",_snort_suricata,874
"10 3rd 2017, 02:00:00.000",_suricata,"14,847"
"10 3rd 2017, 02:00:00.000",_snort,"7,035"
"10 3rd 2017, 02:00:00.000",_snort_suricata,875
"10 3rd 2017, 23:30:00.000",_suricata,"14,098"
"10 3rd 2017, 23:30:00.000",_snort,"7,138"
"10 3rd 2017, 23:30:00.000",_snort_suricata,876
"10 4th 2017, 02:00:00.000",_suricata,"14,795"
"10 4th 2017, 02:00:00.000",_snort,"7,152"
"10 4th 2017, 02:00:00.000",_snort_suricata,877
"10 4th 2017, 22:00:00.000",_suricata,"14,900"
"10 4th 2017, 22:00:00.000",_snort,"7,140"
"10 4th 2017, 22:00:00.000",_snort_suricata,891
"10 5th 2017, 22:30:00.000",_suricata,"14,873"
"10 5th 2017, 22:30:00.000",_snort,"7,135"
"10 5th 2017, 22:30:00.000",_snort_suricata,879
"10 6th 2017, 22:30:00.000",_suricata,"15,105"
"10 6th 2017, 22:30:00.000",_snort,"7,131"
"10 6th 2017, 22:30:00.000",_snort_suricata,903
"10 9th 2017, 22:00:00.000",_snort,"15,336"
"10 9th 2017, 22:00:00.000",_suricata,"14,959"
"10 9th 2017, 22:00:00.000",_snort_suricata,903
"10 11th 2017, 17:00:00.000",_snort,"17,962"
"10 11th 2017, 17:00:00.000",_suricata,"14,926"
"10 11th 2017, 17:00:00.000",_snort_suricata,890
"10 11th 2017, 22:00:00.000",_snort,"17,974"
"10 11th 2017, 22:00:00.000",_suricata,"14,843"
"10 11th 2017, 22:00:00.000",_snort_suricata,881
"10 12th 2017, 22:00:00.000",_snort,"17,918"
"10 12th 2017, 22:00:00.000",_suricata,"14,885"
"10 12th 2017, 22:00:00.000",_snort_suricata,879
"10 13th 2017, 22:00:00.000",_snort,"17,963"
"10 13th 2017, 22:00:00.000",_suricata,"14,989"
"10 13th 2017, 22:00:00.000",_snort_suricata,856
"10 14th 2017, 01:00:00.000",_suricata,"29,980"
"10 14th 2017, 01:00:00.000",_snort,"7,703"
"10 14th 2017, 01:00:00.000",_snort_suricata,"1,710"
"10 16th 2017, 22:30:00.000",_suricata,"15,109"
"10 16th 2017, 22:30:00.000",_snort,"3,837"
"10 16th 2017, 22:30:00.000",_snort_suricata,883
"10 17th 2017, 22:30:00.000",_suricata,"15,328"
"10 17th 2017, 22:30:00.000",_snort,"8,681"
"10 17th 2017, 22:30:00.000",_snort_suricata,861
"10 18th 2017, 23:00:00.000",_suricata,"15,307"
"10 18th 2017, 23:00:00.000",_snort,"8,634"
"10 18th 2017, 23:00:00.000",_snort_suricata,854
"10 19th 2017, 22:30:00.000",_suricata,"15,634"
"10 19th 2017, 22:30:00.000",_snort,"8,598"
"10 19th 2017, 22:30:00.000",_snort_suricata,802
"10 20th 2017, 22:00:00.000",_suricata,"15,513"
"10 20th 2017, 22:00:00.000",_snort,"11,386"
"10 20th 2017, 22:00:00.000",_snort_suricata,794
"10 23rd 2017, 22:30:00.000",_snort,"15,725"
"10 23rd 2017, 22:30:00.000",_suricata,"15,535"
"10 23rd 2017, 22:30:00.000",_snort_suricata,821
"10 24th 2017, 22:00:00.000",_suricata,"15,526"
"10 24th 2017, 22:00:00.000",_snort,"12,197"
"10 24th 2017, 22:00:00.000",_snort_suricata,766
"10 25th 2017, 22:30:00.000",_suricata,"15,669"
"10 25th 2017, 22:30:00.000",_snort,"14,699"
"10 25th 2017, 22:30:00.000",_snort_suricata,781
"10 26th 2017, 22:00:00.000",_snort,"16,498"
"10 26th 2017, 22:00:00.000",_suricata,"15,789"
"10 26th 2017, 22:00:00.000",_snort_suricata,798
"10 27th 2017, 22:00:00.000",_snort,"16,483"
"10 27th 2017, 22:00:00.000",_suricata,"15,700"
"10 27th 2017, 22:00:00.000",_snort_suricata,828
"10 27th 2017, 22:30:00.000",_snort,"16,494"
"10 27th 2017, 22:30:00.000",_suricata,"15,700"
"10 27th 2017, 22:30:00.000",_snort_suricata,828
"10 30th 2017, 21:30:00.000",_suricata,"15,770"
"10 30th 2017, 21:30:00.000",_snort,"9,812"
"10 30th 2017, 21:30:00.000",_snort_suricata,831
