Date_time,No.of Black_listed_IPs
2017-05-27_1600,20693
2017-05-27_1615,20693
2017-05-27_1630,20693
2017-05-27_1645,20693
2017-05-27_1700,20693
2017-05-27_1715,20692
2017-05-27_1730,21391
2017-05-27_1745,20720
2017-05-27_1800,20720
2017-05-27_1815,20720
2017-05-27_1830,20720
2017-05-27_1845,20720
2017-05-27_1900,20720
2017-05-27_1915,20719
2017-05-27_1930,20718
2017-05-27_1945,20718
2017-05-27_2000,20718
2017-05-27_2015,20718
2017-05-27_2030,20718
2017-05-27_2045,20718
2017-05-27_2100,20718
2017-05-27_2115,20715
2017-05-27_2130,20715
2017-05-27_2145,20715
2017-05-27_2200,20715
2017-05-27_2215,20715
2017-05-27_2230,20715
2017-05-27_2245,20715
2017-05-27_2300,20715
2017-05-27_2315,20720
2017-05-27_2330,20720
2017-05-27_2345,20720
2017-05-28_0000,20720
2017-05-28_0015,20720
2017-05-28_0030,20720
2017-05-28_0045,20720
2017-05-28_0100,20720
2017-05-28_0115,20721
2017-05-28_0130,20721
2017-05-28_0145,20721
2017-05-28_0200,20721
2017-05-28_0215,20721
2017-05-28_0230,20721
2017-05-28_0245,20721
2017-05-28_0300,20721
2017-05-28_0315,20720
2017-05-28_0330,20720
2017-05-28_0345,20720
2017-05-28_0400,20720
2017-05-28_0415,20720
2017-05-28_0430,20720
2017-05-28_0445,20718
2017-05-28_0500,20718
2017-05-28_0515,20716
2017-05-28_0530,20716
2017-05-28_0545,20716
2017-05-28_0600,20716
2017-05-28_0615,20716
2017-05-28_0630,20716
2017-05-28_0645,20716
2017-05-28_0700,20716
2017-05-28_0715,20718
2017-05-28_0730,20718
2017-05-28_0745,20718
2017-05-28_0800,20718
2017-05-28_0815,20718
2017-05-28_0830,20718
2017-05-28_0845,20718
2017-05-28_0900,20718
2017-05-28_0915,20717
2017-05-28_0930,20717
2017-05-28_0945,20717
2017-05-28_1000,20717
2017-05-28_1015,20717
2017-05-28_1030,20717
2017-05-28_1045,20717
2017-05-28_1100,20717
2017-05-28_1115,20717
2017-05-28_1130,20717
2017-05-28_1145,20717
2017-05-28_1200,20717
2017-05-28_1215,20717
2017-05-28_1230,20717
2017-05-28_1245,20717
2017-05-28_1300,20717
2017-05-28_1315,20714
2017-05-28_1330,20714
2017-05-28_1345,20714
2017-05-28_1400,20714
2017-05-28_1415,20714
2017-05-28_1430,20714
2017-05-28_1445,20714
2017-05-28_1500,20714
2017-05-28_1515,20718
2017-05-28_1530,20718
2017-05-28_1545,20718
2017-05-28_1600,20718
2017-05-28_1615,20718
2017-05-28_1630,20715
2017-05-28_1645,20715
